nombre,latitud,longitud,servicios,ciudad
Agromilenio,5.178792,-72.5424886,Insumos y productos para cultivo,Aguazul Casanare
Fedearroz,5.1768536,-72.5529188,Insumos y productos para cultivo,Aguazul
Cosechar,5.175924,-72.5507731,Insumos y productos para cultivo,Aguazul
Diana Agrícola Aguazul,5.1885216,-72.534197,Insumos y productos para cultivo,Aguazul
Diana Agícola Yopal,5.3191244,-72.4048268,Insumos y productos para cultivo,Perímetro Urbano Yopal
Agrointegral,5.3259135,-72.3847031,Insumos y productos para cultivo,Perímetro Urbano Yopal
Cosechar,5.3259068,-72.4046433,Insumos y productos para cultivo,Perímetro Urbano Yopal
Agromilenio,5.3273634,-72.407134,Insumos y productos para cultivo,Perímetro Urbano Yopal
Agromundo,5.3384159,-72.4014166,Insumos y productos para cultivo,Perímetro Urbano Yopal
Centro Agropecuario,4.8813142,-72.8951904,Insumos y productos para cultivo,Monterrey
Unión de Arroceros,5.1833704,-72.5466926,Insumos y productos para cultivo,Aguazul
Diana Agrícola,5.2864571,-72.4014592,Insumos y productos para cultivo,Yopal
ORF,5.7305903,-71.9939215,Insumos y productos para cultivo,Pore
Agropecuaria Benitez,5.7261388,-71.9944794,Insumos y productos para cultivo,Pore
Agroexport,5.733147,-71.9946444,Insumos y productos para cultivo,Pore
Diana Agrícola La Paz,5.8709094,-71.8928774,Insumos y productos para cultivo,Paz de Ariporo
Agrillanos,5.3341011,-72.4013008,Insumos y productos para cultivo,Perímetro Urbano Yopal
Agrillanos,5.7331337,-71.9946726,Insumos y productos para cultivo,Pore
Agrofarm,5.3320287,-72.4021055,Insumos y productos para cultivo,Perímetro Urbano Yopal
Diana Agrícola Trinidad,5.4127954,-71.6643135,Insumos y productos para cultivo,Trinidad
Agrobúfalo,5.4089356,-71.6630703,Insumos y productos para cultivo,Trinidad
Omagro,5.3260916,-72.4059229,Insumos y productos para cultivo,Perímetro Urbano Yopal
Insuagro,5.3397544,-72.3979969,Insumos y productos para cultivo,Perímetro Urbano Yopal
Avicola Campestre,5.3408921,-72.3965485,Insumos y productos para cultivo,Perímetro Urbano Yopal
Aliecas,5.3191388,-72.4049721,Insumos y productos para cultivo,Perímetro Urbano Yopal
Siagro,5.3270385,-72.4064741,Insumos y productos para cultivo,Perímetro Urbano Yopal
Futuagro,5.3460264,-72.4014209,Insumos y productos para cultivo,Perímetro Urbano Yopal
Fedearroz Yopal,5.325927,-72.4079388,Insumos y productos para cultivo,Perímetro Urbano Yopal
Diana Agrícola Maní,4.824602,-72.2897298,Insumos y productos para cultivo,Maní
Sonora insumos,5.3263455,-72.4063865,Insumos y productos para cultivo,Perímetro Urbano Yopal
Agroexport Aguazul,5.1766067,-72.5459526,Insumos y productos para cultivo,Aguazul
Agrícola Piedemonte,5.331151,-72.4083011,Insumos y productos para cultivo,Perímetro Urbano Yopal
Arroz Sonora,4.8227286,-72.2857978,Insumos y productos para cultivo,Maní
Fitollanos,5.3368288,-72.3967486,Insumos y productos para cultivo,Perímetro Urbano Yopal
Agropartner,5.3281493,-72.4078208,Insumos y productos para cultivo,Perímetro Urbano Yopal
La majada,5.6379204,-72.1952567,Atención y productos veterinarios,Nunchía
DARAGRO S.A.S Mani,4.8171641,-72.2858481,"🌱 Insumos agrícolas (semillas, fertilizantes, agroquímicos)
AGROPEVG,4.8188068,-72.2847793,🌱 Insumos agrícolas (semillas; fertilizantes",agroquímicos)
