nombre,categoria,ciudad,latitud,longitud,direccion,telefono,sitio_web,imagen_url,servicios
La Brasa Llanera,restaurante,Yopal,5.3281708,-72.3992233,"a 12-127, Cl. 30 #12-1, Yopal, Casanare",,,,
Rapi Roy Parrilla,restaurante,Yopal,5.349798,-72.3971678,"Calle 9 #No. 23 - 61 Centro comercial Unicentro Local 2-68 Centro comercial Gran Plaza Alcaraván, Local 111, Yopal, Casanare",,,,
La Res,restaurante,Yopal,5.348537,-72.394837,"Cra. 25 # 11- 11, Yopal, Casanare",,,,
CARBON Y VINO,restaurante,Yopal,5.3246612,-72.4046859,"Cl. 31 #5-17, Yopal, Casanare",,,,
Restaurante El Brasero,restaurante,Yopal,5.3393064,-72.3972067,"Cra. 19 #Calle 18, Yopal, Casanare",,,,
Tornillos y Herramientas La 40,tienda de herramientas,Yopal,5.3188408,-72.3949296,"Cl. 40 #14 A 52, Yopal, Casanare",,,,
Ferreteria Ferrehidraulicas Y Soluciones,ferretería,Yopal,5.3187337,-72.3952931,"Cl. 40 #14- 24, Yopal, Casanare",,,,
Ferretería la 15 Yopal,tienda de herramientas,Yopal,5.3250272,-72.3937283,"20 de julio, Yopal, Casanare",,,,
Universal De Tornillos Y Herramientas,ferretería,Yopal,5.3317688,-72.406926,"Cl. 24 #7b-40, Yopal, Casanare",,,,
COMERCIALIZADORA FERRECENTRO,ferretería,Yopal,5.3434526,-72.3966862,"Calle 15 21 19 Calle 15 #21 - 19 Bello Hotizonte, Yopal, Casanare",,,,
Drogueria Mundo Farma,farmacia,Yopal,5.3417204,-72.3943762,"El Gavan, Cra. 22 #calle 17-71, Yopal, Casanare",,,,
Farmacenter 24 Horas,farmacia,Yopal,5.3318654,-72.4031924,"Cra. 10 #24 - 131, Yopal, Casanare",,,,
Droguería El Terminal de Yopal,farmacia,Yopal,5.3362664,-72.3902312,"Barrio la Floresta, Cra. 23 #25- 15, Yopal, Casanare",,,,
DROGUERIA FARMA ORIENTE DEL LLANO YOPAL,farmacia,Yopal,5.3359321,-72.3937905,"Cl. 24 #20-11, Yopal, Casanare",,,,
Droguería Alemana,farmacia,Yopal,5.3358929,-72.3938716,"Cl. 24 #20-03 Esquina, Yopal, Casanare",,,,
Super Metro Yopal,supermercado,Yopal,5.3250788,-72.4033326,"Cl. 31 #6 - 72, Yopal, Casanare",,,,
Supermercado Don toño,supermercado,Yopal,5.3309131,-72.4043836,"Cra. 9 #252 a 25-86, Yopal, Casanare",,,,
Supermercado Más x Menos,supermercado,Yopal,5.3181808,-72.3975397,"Cl. 40 #12-10, El Banco, Yopal, Casanare",,,,
Megabastos del llano,supermercado,Yopal,5.3316841,-72.3987507,"a 25b-1, Cra. 14 #25b-33, Yopal, Casanare",,,,
Supérmercado El Portal,supermercado,Yopal,5.3218122,-72.3959139,"Cra. 14 A #36B-36, Yopal, Casanare",,,,
PACHO TUMECANICO,taller mecánico,Yopal,5.3366411,-72.4019659,"Tv. 10 #19-17, Yopal, Casanare",,,,
Tolomotos,taller mecánico,Yopal,5.3231259,-72.3978919,"Cra. 13 #35-30, Yopal, Casanare",,,,
Taller Premium,taller mecánico,Yopal,5.3353257,-72.3940383,"Cra. 20 #24-44, Yopal, Casanare",,,,
TallerJimCarSuarezYopal,taller de frenos,Yopal,5.3296012,-72.4004523,"Cra. 12 #21-46, Primero de mayo, Yopal, Casanare",,,,
OMICRN LyP,taller mecánico,Yopal,5.330677,-72.4033377,"Cl. 26 #9-63, Yopal, Casanare",,,,
cibertienda.com,tienda de ropa para bebés,Yopal,5.3253014,-72.3978538,"nuevo habitat 2, Cl. 33 #13 17, Yopal, Casanare",,,,
CANDY'LU STORE Y KAOS Elegancia que se nota Ropa masculina Y Femenina con carácter.,tienda de ropa de mujer,Yopal,5.3320326,-72.3929186,"Cra. 19 #28-9, Yopal, Casanare",,,,
Surtitodo del Llano Yopal,tienda de ropa,Yopal,5.3471218,-72.4018661,"Cl. 9 #N° 18 - 65, Yopal, Casanare",,,,
Mattelsa Yopal | Unicentro | Tienda de Ropa,tienda de ropa,Yopal,5.347532,-72.389897,"Cra. 29 #14 - 47 Segundo piso - Local 137F, Yopal, Casanare",,,,
