nombre,categoria,ciudad,latitud,longitud,direccion,telefono,sitio_web,imagen_url,servicios
Crocante Yopal Restaurante,Restaurante,Yopal,5.3481265,-72.3944519,"Cra. 25 #11 75, Yopal, Casanare",316 8229135,linktr.ee,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWncYD--ssH3ulWy6t9RATlWdTBUxuxeIzNv5po031owpasAo6nJ-ME0fJSLhJXmHb_6-1d9XULMvokv3j6jZqpIQzWH4MG1Je91h9UVCM1ssVdTAOLtpyahlaZWHlfp-k3TMn6XPNlSKaE=w408-h828-k-no,", Consumo en el lugar, Pedidos desde el automóvil, Entrega sin contacto"
Humero Parrilla Bar,Restaurante,Yopal,5.3454648,-72.3896572,"Cl. 17 # 28-49, Yopal, Casanare",310 6999241,humeroparrilla.com,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlb_oN9dK6zQFNnxENl79Oz2VI-5PH6uhAtxtH2gn8ksIMHVzp7fcU5KrEMvMRz1dm7Vx-qgQWZzG7CArzGsvOAd-bohaVXpMzIhvX9ofaOqUajKqMPvotLXsfJ3qxC8isBjIzPL0ni6oy5=w408-h306-k-no,", Consumo en el lugar, Retiros en la puerta, Entrega sin contacto"
Los Compas De La 30,Restaurante,Yopal,5.3294033,-72.3947355,"Tv. 15 #29b-44 a, Yopal, Casanare",310 3068481,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnPXNYaQg_jyE5tUZ6u5BNq6wEZBg6XD0mxceZ4-woQ7uC7VH2-V1laujZRiQU6a_hwiqKAPZ9bYXzYOGgNd6xcPP33yYuvNuGAPYXM90Jjm8VttFKNJw_ulfaeQ4X8H1zO0Dyukg=w426-h240-k-no,", Consumo en el lugar, Para llevar, Entrega a domicilio"
Smash Grill Yopal,Restaurante,Yopal,5.3381579,-72.3916638,"Cra. 23 #22-86, Yopal, Casanare",321 3245670,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnV4Ci89DK-uDhEg7vQZmgzXXHL-nu8E8hpsN5COiVd5kmWm4oaDTGNXKZTguEFBb-ISg6JS2sxk2P2b9xrSXn7Vzo4V26r8UM7xDugHMqcq-dKL1IVAsJQ1yQnYZ1rt7aTooWQVkPwuLn7=w408-h884-k-no,", Consumo en el lugar, Pedidos desde el automóvil, Entrega sin contacto"
Chez Dom,Restaurante,Yopal,5.3486099,-72.3974561,"Cra. 23 #9-72, Yopal, Casanare",319 5910945,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlRRhmXtGhpvJV_oyLO_UySG7c_ch7CLET5iQZFj6cyWeeldK2VwbGY3giPXy2i70GryjQNnNXouzPfrBYWjtbOV2mNz2eJsm9s7-leM62lRPFRJzOy5x15wttAJqdJfIjAPC9pDA=w408-h544-k-no,", Consumo en el lugar, Pedidos desde el automóvil, Entrega a domicilio"
Ferreteria Nacional de Materiales,Tienda de materiales para la construcción,Yopal,5.3397287,-72.3973961,"Cra. 19 #18 -36, Yopal, Casanare",310 3450033,nacionaldemateriales.com,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnl7bt3CLFd8IjcKnNqKe_WZIIXaJiVRZ5BHb6fbjhbM37BZK5gsth_Mf6f0JWJDJACetwP-pVJTY9ntkXpIFrEo2qdLxQl9Z_rzsRFlbEmR6u8xzyVpVRPCv2QEwbbssDFDmRCNrvgdI2j=w408-h542-k-no,", Entrega a domicilio, "
Construvarios SAS,Ferretería,Yopal,5.333185,-72.401218,"Cl. 24 #12-26, Yopal, Casanare",314 2993942,construvarios.com,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkgEb5fLpaJh-DnRb5UVIBhVJR_WEimafjvhaeUgUh4AgjkI32a6kx91eBxBqYrbaZdIyx-QNYGMVlqXP9JpBy7yAjSaUiN5gRO77pIWB1U8jriAc4EXiHjUyAjk7xcFchRAmXE=w569-h240-k-no,", Entrega a domicilio, "
Ferreteria La Urbanizadora,Ferretería,Yopal,5.3200048,-72.397871,"Yopal, Casanare",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=o8Ahx5zpK7A9WLmLnHQRlA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=345.86636&pitch=0&thumbfov=100,", Entrega a domicilio, "
Herrajería y Ferretería El Carpintero,Proveedor de materiales de construcción,Yopal,5.3156964,-72.4031964,"Cra. 6a #42a 40, El Banco, Yopal, Casanare",316 8735894,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gLS9E_tiACims_a0LnkxDA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=255.58722&pitch=0&thumbfov=100,
Ferreteria Metales Y Servicios,Ferretería,Yopal,5.3179985,-72.3997089,"Cra. 10a ##40-1 a, El Banco, Yopal, Casanare",320 2039528,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WCSETrTxyJWD01p6R-LIWQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=70.80557&pitch=0&thumbfov=100,", 4.8, (6), Ferretería"
Droguería Alemana MARKET,Farmacia,Yopal,5.3285157,-72.3979705,"BARRIO VILLA ROCIO, Cl. 30 #14-03, Yopal, Casanare",320 4435373,tudrogueriavirtual.com,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmchcSDUYLRmwlKDuXLwSAp6OgHHZZGpLJbiZfaHkSQvg2ns1q0sc4wZ6FHxYzOaHQKq789WDb5CEIpcdeVrF99pEXjy4f_F37ifEZYPuEdgmIM0apJv17qkjrbuy4LwO8xE83x=w408-h306-k-no,", Entrega a domicilio, "
Super Droguería Farmacity Yopal - Domicilios gratis en todo Yopal,Farmacia,Yopal,5.3349007,-72.3895978,"Cra. 23 #27-05, Yopal, Casanare",320 8880787,ybts7ioy5r6xq.ok.kimi.link,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmQtwdQdWs_MdqxPQeRPpYsu_daN43it7jWeBGOhP5P_kxlEc1vwJ-74sjIsyh9E7-Uy4vsQljQazOj42K12XeQ5yRwXE--7hTllUiFGQ0Ka_mRjUNrJkCmTbjtLkbCTpJzamGoTdXl0lw=w408-h474-k-no,", Compras en tienda, Retiro en tienda, Entrega a domicilio"
Droguería La 40,Farmacia,Yopal,5.3184479,-72.39906,"Cl. 40 #7-81, Yopal, Casanare",(608) 6332529,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lLe9XxEpT_1MvP30XxSx8w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=74.29481&pitch=0&thumbfov=100,", Entrega a domicilio, "
Drogueria Servidrogas Gavan,Farmacia,Yopal,5.3414074,-72.3968111,"800001, Cra. 20 #16 - 77, Yopal, Casanare",322 7082726,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmDvqnegV1aKU9ZrPoaBftS99BSdPa6B0nQdBIOenWd_ZI-EhJPEmo3cSqyM-8WbmlT8PvV3Ev64G_KeqK66nXJfiFFcR1loQWmKrUgbuUTbT9QNKAWkKcULp5zzvLGZDJ6RS0=w426-h240-k-no,", Compras en tienda, Entrega a domicilio, "
Droguería Unifarma La 30,Farmacia,Yopal,5.3298948,-72.3928943,"Cra. 18 #30-15, Yopal, Casanare",320 9216460,facebook.com,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn41PU3W5EhtRNfeQLs6x5HZaENmWUjme0qh3PaqpGDn865ijxvRH1ExSJ5NgzjA3fv9mieSa9fGXuwpFAOZ4Eh4e65XzOtARirO8LgmqB4YSC3deB0igC1O0tVdlC7LCYSwbLWNA=w408-h340-k-no,", Entrega a domicilio, "
Almacenes SuperMio Yopal,Supermercado,Yopal,5.3181261,-72.3977951,"Cl. 40 #11-100, El Banco, Yopal, Casanare",86333255,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlTFuysFW4zfxDPuZqKMRN44cJ0L5etr3yAF8EuLAXv0b22-fDfOannqafQljm83E2IyWiY82Xp-Nc2Kh8H-6uiNjs-moto0V4UuYSSexzIiB-u-8SpJIEYTaSjzqFOZm2aNE8=w489-h240-k-no,", Entrega a domicilio, "
Mer14 Express,Supermercado,Yopal,5.3267502,-72.3973622,carrera 14 #31a,311 8033402,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkWp01mD_A_1JAmSrLgqDelkKlvqAimA-H68UQ3rHpX50YabP9qJ3c2winnmlcTxTrXRU6gBRVwxEaIqyvc1b4pRySxX3ODuJDuo8ga8emyk13xjhrE5p-c3fRktkfC-SDf0hk=w408-h408-k-no,", Entrega a domicilio, "
