nombre,categoria,latitud,longitud,servicios,ciudad,imagen1,imagen2,imagen3,imagen4,descripcion,rating,habitaciones
Hotel Emporio Real,Hotele,5.334376,-72.396909,,Yopal,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkOYdMMreQcIbh6efeTodgXam0HT27qW0jIWgcJfl5AadsxSd0yj6YEQS2_-iCiHI3QTO71SWj1Iih9Xsnf3MB2balWFu5Fl1tlzvF03wbYDKJLEzc5nfVpp0vOI7NGOs3aiD3zoLwETvY=w408-h306-k-no,,,,"Hotel Emporio Real es un alojamiento ubicado en Yopal, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.3,3
Hotel Danubio Azul,Hotele,5.3457943,-72.4025271,,Yopal,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmYRd2hKgLi_0-fKqnyZQuQdrJlDHRtDuKaeUsQr7xRjMf1W7WRaBfviL6bF2-B1KFE3ySts0rw860wEJkZAQjfUMS7Sc19CbahExr01H45FPxtfJqt7prKyBo5wKmVrV71skCJZ4M2MtT9=w408-h725-k-no,,,,"Hotel Danubio Azul es un alojamiento ubicado en Yopal, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.7,3
Hotel Casa Morales Yopal,Hotele,5.3498865,-72.3978847,,Yopal,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnK0cytOnmNCrTpZqd446nJ4QCx59P6C2qJnsQ9aMDSSZxggoYM3PYEf_WjxjMKrq8awO7slt6Ekymvajzo2eTUBuu_BsPVEMPrAVVCOBF8Ix94DPlS79vXwuIhTN9odzxqhNHu=w427-h240-k-no,,,,"Hotel Casa Morales Yopal es un alojamiento ubicado en Yopal, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.3,3
GHL Style Hotel Yopal,Hotele,5.335084,-72.3846863,,Yopal,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmIQPfFz7OZpcgsgDY_wZQNBLpkwLkrM8IY4GkrCnCrODyv00d3Zhgk9Avje-hwOlhZc87X3iHLIGb1AvpnFRamVmVO7RIQj3C7aCiakXkVsbTLyyXRP1rB7mOLLK12M8KrfVE=w408-h307-k-no,,,,"GHL Style Hotel Yopal es un alojamiento ubicado en Yopal, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.6,2
Hotel La Fontana,Hotele,5.3471562,-72.4023658,,Yopal,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnShoGocIM2JEenfWgQUuslKAFPECT47nJRspg-sAkNQs3ke7v_RzgnY3oCFcIKi8T9aqRbgzLT0DpEvqE1PdxTt_kvJ3SR49BwvKiorDl8X96uuHn2b2iI7NXe-CN6uz1W_Om8aA=w408-h544-k-no,,,,"Hotel La Fontana es un alojamiento ubicado en Yopal, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.3,3
Hotel Canacabare,Hotele,5.3471401,-72.3973348,,Yopal,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkL2O6SXdKd97UZq9z3WLCrTzFrKBDjAUSbWfs5z_TtOMhWhqmcDo0Rw8ddOm6lZMkrnllre7Hcmcu_b6BwjckfUMiqho-AncAKEBqI1qpE1R3GEftLYWqX3n3Vn-4p4Lm2Vu4=w408-h544-k-no,,,,"Hotel Canacabare es un alojamiento ubicado en Yopal, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.3,2
Hampton by Hilton Yopal,Hotele,5.3348141,-72.38355,,Yopal,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnJ2OvwwP9_ReL2Y6GcZXGRZ4mqgLdgnUO1isq4-rdSv5dQWf3sZ32n_0YZsKmXUggy7_98MIc09RvG0ZyYe9cjUJwyuFenWmgu3pt5rfrVz8nyn4DqoxJ8i1JHNrzw0u6QSSB4WW_e5ump=w408-h408-k-no,,,,"Hampton by Hilton Yopal es un alojamiento ubicado en Yopal, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.7,3
Hotel Torres Del Llano,Hotele,5.3456616,-72.3999269,,Yopal,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmhLKQbiL43t_23TjDZBZSltjaE3pHyUnHA9fxM1XOgHRzKWcK2iPR-0vUJ3iT_n9TcOs398pyuLXWjC6lefMCgocKhur04IemEFKGMiNwtyEt6YaLMgfqKI7dTT4qnnNDNCM5o1w=w456-h240-k-no,,,,"Hotel Torres Del Llano es un alojamiento ubicado en Yopal, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.4,3
Hotel Camoruco,Hotele,5.3494752,-72.3989686,,Aguazul,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmdMvAEp2sYzkGeZBj23ZieZASDzbvrTrZnN6lw4EjZ47VfXdkZ2O9eqny4hgwbzxcX3NgDiVsCXSFyJNlzAmOjp71crXt5UkZGRBawEj_2XfeAvB_Dm1FWMB7ikjFKzd_CeO1m=w408-h272-k-no,,,,"Hotel Camoruco es un alojamiento ubicado en Aguazul, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.5,3
Hampton by Hilton Yopal,Hotele,5.334814,-72.38355,,Aguazul,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnJ2OvwwP9_ReL2Y6GcZXGRZ4mqgLdgnUO1isq4-rdSv5dQWf3sZ32n_0YZsKmXUggy7_98MIc09RvG0ZyYe9cjUJwyuFenWmgu3pt5rfrVz8nyn4DqoxJ8i1JHNrzw0u6QSSB4WW_e5ump=w408-h408-k-no,,,,"Hampton by Hilton Yopal es un alojamiento ubicado en Aguazul, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.7,3
