nombre,categoria,latitud,longitud,servicios,ciudad
Plaza Real Yopal,hotel,5.3469656,-72.3976719,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
Hacienda La Cabaña,hotel,4.7060529,-72.7046293,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Estacionamiento; Servicio de limpieza,Tauramena
Atalayas,hotel,5.3396898,-72.3970981,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Cantaclaro,hotel,5.348352,-72.3982676,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Brisas del Río,hotel,5.3501148,-72.3984711,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Estacionamiento; Servicio de limpieza,Perímetro Urbano Yopal
Campin,hotel,5.34722,-72.3993724,Habitaciones; Recepción / atención al cliente; Información turística; Servicio de transporte / traslado; Pago con tarjeta,Perímetro Urbano Yopal
Casablanca,hotel,5.3477113,-72.3995226,Habitaciones; Recepción / atención al cliente; Pago con tarjeta; Recepción 24 horas; Seguridad,Perímetro Urbano Yopal
Costa Azul del Llano,hotel,5.3470242,-72.4009898,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
Maren´s,hotel,5.348422,-72.3958801,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
El Edén,hotel,5.34612,-72.4008851,Habitaciones; Recepción / atención al cliente; Información turística; Pago con tarjeta; Recepción 24 horas,Perímetro Urbano Yopal
Danubio Azul,hotel,5.3465956,-72.402473,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Hotel del Llano,hotel,5.3394332,-72.3966043,Habitaciones; Recepción / atención al cliente; Información turística; Pago con tarjeta; Recepción 24 horas,Perímetro Urbano Yopal
Florida,hotel,5.3431666,-72.4003272,Habitaciones; Recepción / atención al cliente; Pago con tarjeta; Recepción 24 horas; Seguridad,Perímetro Urbano Yopal
Garzas del Oriente,hotel,5.3454951,-72.3984711,Habitaciones; Recepción / atención al cliente; Pago con tarjeta; Recepción 24 horas; Seguridad,Perímetro Urbano Yopal
Gaván,hotel,5.3469187,-72.4009267,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Iximena,hotel,5.3493954,-72.4001681,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
Llanorama,hotel,5.3422373,-72.3973661,Habitaciones; Recepción / atención al cliente; Seguridad; Extintores / sistema contra incendios; Wi-Fi gratuito,Perímetro Urbano Yopal
Luna Roja,hotel,5.349554,-72.3990505,Habitaciones; Recepción / atención al cliente; Pago con tarjeta; Recepción 24 horas; Seguridad,Perímetro Urbano Yopal
Mi Llanura,hotel,5.3475416,-72.4011295,Habitaciones; Recepción / atención al cliente; Pago con tarjeta; Recepción 24 horas; Seguridad,Perímetro Urbano Yopal
Morgan,hotel,5.3453321,-72.3999999,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Estacionamiento; Servicio de limpieza,Perímetro Urbano Yopal
Nuevo Embajador,hotel,5.3475564,-72.4003594,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Portal del Llano,hotel,5.3479784,-72.400456,Habitaciones; Recepción / atención al cliente; Información turística; Pago con tarjeta; Recepción 24 horas,Perímetro Urbano Yopal
Paraiso del Llano,hotel,5.3469161,-72.3999625,Habitaciones; Recepción / atención al cliente; Pago con tarjeta; Recepción 24 horas; Seguridad,Perímetro Urbano Yopal
Real´s,hotel,5.3421729,-72.3970764,Habitaciones; Recepción / atención al cliente; Extintores / sistema contra incendios; Wi-Fi gratuito; Estacionamiento,Perímetro Urbano Yopal
Samara,hotel,5.3440957,-72.3953973,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Estacionamiento; Servicio de limpieza,Perímetro Urbano Yopal
San Carlos de Yopal,hotel,5.347952,-72.4016254,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
San Sebastian Real,hotel,5.3497893,-72.4016737,Habitaciones; Recepción / atención al cliente; TV en habitaciones; Baño privado; Servicio de transporte / traslado,Perímetro Urbano Yopal
Villas,hotel,5.3481867,-72.4017488,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
Xcaret Suite,hotel,5.3468573,-72.3996352,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
